# Generated by scripts/core/extract-china-terms.py — DO NOT EDIT MANUALLY
# Source: data/terminology/*.yaml (detection blocks)
# Format: cterm\tseverity\ttaiwan\tfork_type
# severity: A=紅燈（必換，計入分數）/ B=黃燈（提示但不計分）
#
U盤	A	隨身碟 / USB隨身碟	B
下載量	A	下載次數	E
互聯網	A	網際網路	B
人工智能	A	人工智慧	B
優盤	A	隨身碟	B
內存	A	記憶體	B
公交車	A	公車	B
出租車	A	計程車	B
博主	A	部落客	C
博客	A	部落格	B
地鐵站	A	捷運站	B
寬帶	A	寬頻	B
屏幕	A	螢幕	B
打印機	A	印表機	B
操作系統	A	作業系統	B
數據庫	A	資料庫	B
服務器	A	伺服器	B
煤氣	A	瓦斯	A
盒飯	A	便當	A
硬件	A	硬體	B
硬盤	A	硬碟	B
移動端	A	行動端	B
視頻	A	影片	C
軟件	A	軟體	B
點贊	A	按讚	C
鼠標	A	滑鼠	B
信息化	B	資訊化	E
算法	B	演算法	B
網絡	B	網路	B
質量	B	品質	A
高清	B	高畫質	B
