# china-term-false-positives.tsv
#
# ⚠️ DEPRECATED — Issue #616 解三層脫節後，此檔已不再被 quality-scan.sh 讀取
# ⚠️ 規則已搬入對應 YAML 的 detection.false_positives 區塊（data/terminology/*.yaml）
# ⚠️ quality-scan.sh 現讀 generated TSV: data/terminology/.china-terms.false-positives.tsv
#
# 此檔保留作為遷移歷史記錄（git history reference）。未來新增 false_positive
# 應在對應的 YAML 詞條（譬如 部落格.yaml）內加 detection.false_positives，
# 不再修改本檔。詳見 data/terminology/README.md §detection schema。
#
# Format: <china_term>\t<false_positive_pattern>\t<note>
# Lines starting with # are comments and ignored.
#
# 觸發背景：2026-04-23 #597 @notoriouslab 報告「博客來」被誤判為「博客」
# 設計來源：#597 方案 2（@notoriouslab 提案 + @Zaious + @frank890417 一致同意）
# 遷移完成：2026-04-28 #616 by @Zaious（schema 重構為 YAML SSOT）
#
# ────────────────────────────────────────────────────────────────────
博客	博客來	書店通路品牌名，含「博客」字串但非中國用語
算法	演算法	台灣正確用語「演算法」含「算法」字串
算法	貪婪演算法	演算法子類別
算法	貪心算法	貪心演算法另一寫法（仍為台灣語境）
高清	高清愿	人名高清愿（裕隆集團創辦人之一），含「高清」字串
高清	清高	「高潔的人」，"高""清" 倒序組合
信息化	信息化的	policy 文獻引用（中性形容歷史過程）
網絡	網絡層	OSI 七層模型「網絡層」是電腦科學標準術語
網絡	類神經網絡	專業術語含「網絡」字串
質量	質量單位	物理學術語（國際單位制的 mass）
質量	質量守恆	物理定律
質量	質量數	化學術語（atomic mass number）
鼠標	老鼠	單純含「鼠」字
鼠標	標記	單純含「標」字（無「鼠標」連用）
